央视频道,#genre#
龙华戏剧,http://stv.alishare.cf/stv-nosession.php?id=lunghuaxiju_twn
龙华偶像,http://stv.alishare.cf/stv-nosession.php?id=lunghuaidol_twn
龙华卡通,http://stv.alishare.cf/stv-nosession.php?id=jingtiancartoon_twn
纬来日本台,http://stv.alishare.cf/stv-nosession.php?id=videolandjapan
纬来电影台,http://stv.alishare.cf/stv-nosession.php?id=videolandmovie
纬来体育台,http://stv.alishare.cf/stv-nosession.php?id=videolandsport
纬来综合台,http://stv.alishare.cf/stv-nosession.php?id=videolandzonghe
靖天国际,http://stv.alishare.cf/stv-nosession.php?id=jingtianintl_twn
探索亚洲,http://stv.alishare.cf/stv-nosession.php?id=discoverytwn_twn
卫视中文,http://stv.alishare.cf/stv-nosession.php?id=weishichinese_twn
美亚电影,http://stv.alishare.cf/stv-nosession.php?id=meiyamovie_twn
星卫电影,http://stv.alishare.cf/stv-nosession.php?id=xingwei_movie
旅游生活,http://stv.alishare.cf/stv-nosession.php?id=tlc_twn
亚洲旅游,http://stv.alishare.cf/stv-nosession.php?id=asiatravel_twn
亚洲美食,http://stv.alishare.cf/stv-nosession.php?id=afc_twn
美食星球,http://stv.alishare.cf/stv-nosession.php?id=foodplanet_twn
动物星球,http://stv.alishare.cf/stv-nosession.php?id=AnimalPlanet
动物星球1,http://stv.alishare.cf/stv-nosession.php?id=animalplanet_twn
博斯网球,http://stv.alishare.cf/stv-nosession.php?id=bositennis_twn
博斯运动1,http://stv.alishare.cf/stv-nosession.php?id=bosisport1_twn
博斯高球2,http://stv.alishare.cf/stv-nosession.php?id=bosigolf2_twn
博斯运动2,http://stv.alishare.cf/stv-nosession.php?id=bosisport2_twn
爱尔达影剧台,http://stv.alishare.cf/stv-nosession.php?id=eltayingju_twn
爱尔达体育2,http://stv.alishare.cf/stv-nosession.php?id=eltasport2_twn
爱尔达体育3,http://stv.alishare.cf/stv-nosession.php?id=eltasport3_twn
EYETV旅游,http://stv.alishare.cf/stv-nosession.php?id=eyetvtravel_twn
EYETV戏剧,http://stv.alishare.cf/stv-nosession.php?id=eyetvxiju_twn
好消息2,http://stv.alishare.cf/stv-nosession.php?id=good2_twn

海外频道,#genre#
国家地理,http://stv.alishare.cf/stv-nosession.php?id=natgeo_twn
野生动物,http://stv.alishare.cf/stv-nosession.php?id=natgeowild_twn
地理野生,http://stv.alishare.cf/stv-nosession.php?id=natgeowildtamil_raj
好莱坞电影,http://stv.alishare.cf/stv-nosession.php?id=hollywoodmovies_twn
CI,http://stv.alishare.cf/stv-nosession.php?id=ci_twn
Discovery,http://stv.alishare.cf/stv-nosession.php?id=discovery_twn
NatGeo,http://stv.alishare.cf/stv-nosession.php?id=Natgeo
Fashion TV,http://stv.alishare.cf/stv-nosession.php?id=fashiontv_twn
History,http://stv.alishare.cf/stv-nosession.php?id=History
BBC Earth,http://stv.alishare.cf/stv-nosession.php?id=bbcearth_twn
BBC Earth Lifestyle,http://stv.alishare.cf/stv-nosession.php?id=bbclifestyle_twn
MTV Live,http://stv.alishare.cf/stv-nosession.php?id=mtv_twn
NatGeo Wild,http://stv.alishare.cf/stv-nosession.php?id=Natgeowild
TLC,http://stv.alishare.cf/stv-nosession.php?id=Tlc
Sun TV,http://stv.alishare.cf/stv-nosession.php?id=Suntv
Star Vijay,http://stv.alishare.cf/stv-nosession.php?id=Starvijay
Sun Music,http://stv.alishare.cf/stv-nosession.php?id=Sunmusic
Astro Sunlife,http://stv.alishare.cf/stv-nosession.php?id=Sunlife
Astro Vaanavil,http://stv.alishare.cf/stv-nosession.php?id=Vaanavil
Zee Tamil,http://stv.alishare.cf/stv-nosession.php?id=Zeetamil
Zee Business,http://stv.alishare.cf/stv-nosession.php?id=Zeebusiness
News 18 Tamil,http://stv.alishare.cf/stv-nosession.php?id=news18tamil_raj
Adithya,http://stv.alishare.cf/stv-nosession.php?id=Adithya
Makkal TV,http://stv.alishare.cf/stv-nosession.php?id=Makkaltv
Zee Action,http://stv.alishare.cf/stv-nosession.php?id=Zeeaction
KTV UK,http://stv.alishare.cf/stv-nosession.php?id=ktvuk_tamil
