4gtv,#genre#
龙华电影,https://4gtv.mytvsuper.xyz/4gtv.php?id=litv-longturn03
博斯魅力,https://4gtv.mytvsuper.xyz/4gtv.php?id=litv-longturn04
博斯高球,https://4gtv.mytvsuper.xyz/4gtv.php?id=litv-longturn05
博斯高球,https://4gtv.mytvsuper.xyz/4gtv.php?id=litv-longturn06
博斯运动1,https://4gtv.mytvsuper.xyz/4gtv.php?id=litv-longturn07
博斯运动2,https://4gtv.mytvsuper.xyz/4gtv.php?id=litv-longturn08
博斯网球,https://4gtv.mytvsuper.xyz/4gtv.php?id=litv-longturn09
博斯无限,https://4gtv.mytvsuper.xyz/4gtv.php?id=litv-longturn10
龙华日韩,https://4gtv.mytvsuper.xyz/4gtv.php?id=litv-longturn11
龙华偶像,https://4gtv.mytvsuper.xyz/4gtv.php?id=litv-longturn12
博斯无限,https://4gtv.mytvsuper.xyz/4gtv.php?id=litv-longturn13
寰宇新闻台,https://4gtv.mytvsuper.xyz/4gtv.php?id=litv-longturn14
寰宇新闻台湾台,https://4gtv.mytvsuper.xyz/4gtv.php?id=litv-longturn15
亚洲旅游台,https://4gtv.mytvsuper.xyz/4gtv.php?id=litv-longturn17
龙华戏剧,https://4gtv.mytvsuper.xyz/4gtv.php?id=litv-longturn18
Smart知识台,https://4gtv.mytvsuper.xyz/4gtv.php?id=litv-longturn19
ELTV生活英语台,https://4gtv.mytvsuper.xyz/4gtv.php?id=litv-longturn20
龙华经典,https://4gtv.mytvsuper.xyz/4gtv.php?id=litv-longturn21
台湾戏剧台,https://4gtv.mytvsuper.xyz/4gtv.php?id=litv-longturn22

Hami,#genre#
愛爾達綜合台,https://caonimaya.hg16888.vip/hami/OTT_LIVE_0000001573
愛爾達娛樂台,https://caonimaya.hg16888.vip/hami/OTT_LIVE_0000001518
愛爾達影劇台,https://caonimaya.hg16888.vip/hami/OTT_LIVE_0000001517
愛爾達日韓台,https://caonimaya.hg16888.vip/hami/OTT_LIVE_0000002079
愛爾達體育1台,https://caonimaya.hg16888.vip/hami/OTT_LIVE_0000001744
愛爾達體育2台,https://caonimaya.hg16888.vip/hami/OTT_LIVE_0000001743
愛爾達體育3台,https://caonimaya.hg16888.vip/hami/OTT_LIVE_0000001745
愛爾達體育4台,https://caonimaya.hg16888.vip/hami/OTT_LIVE_0000002055
愛爾達體育MAX1台,https://caonimaya.hg16888.vip/hami/OTT_LIVE_0000001853
愛爾達體育MAX2台,https://caonimaya.hg16888.vip/hami/OTT_LIVE_0000001854
愛爾達體育MAX3台,https://caonimaya.hg16888.vip/hami/OTT_LIVE_0000001855
愛爾達體育MAX4台,https://caonimaya.hg16888.vip/hami/OTT_LIVE_0000001856
Hami MLB 台,https://caonimaya.hg16888.vip/hami/OTT_LIVE_0000002017
Hami 羽球台,https://caonimaya.hg16888.vip/hami/OTT_LIVE_0000001830
Hami 羽球台(免費),https://caonimaya.hg16888.vip/hami/OTT_LIVE_0000001831
Hami 卡通台(免費),https://caonimaya.hg16888.vip/hami/OTT_LIVE_0000002083
