央视频道,#genre#
求索动物,http://felix365.us.kg/itv/2000000004000000009.m3u8?cdn=hnbblive
求索纪录,http://felix365.us.kg/itv/2000000004000000010.m3u8?cdn=hnbblive
求索科学,http://felix365.us.kg/itv/2000000004000000011.m3u8?cdn=hnbblive
求索生活,http://felix365.us.kg/itv/2000000004000000008.m3u8?cdn=hnbblive
NewTV军事评论,http://felix365.us.kg/itv/2000000003000000022.m3u8?cdn=hnbblive
NewTV军旅剧场,http://felix365.us.kg/itv/2000000003000000014.m3u8?cdn=hnbblive
NewTV动作电影,http://felix365.us.kg/itv/2000000003000000017.m3u8?cdn=hnbblive
NewTV古装剧场,http://felix365.us.kg/itv/2000000003000000024.m3u8?cdn=hnbblive
NewTV家庭剧场,http://felix365.us.kg/itv/2000000003000000012.m3u8?cdn=hnbblive
NewTV中国功夫,http://felix365.us.kg/itv/2000000003000000009.m3u8?cdn=hnbblive
NewTV农业致富,http://felix365.us.kg/itv/2000000003000000003.m3u8?cdn=hnbblive
NewTV东北热剧,http://felix365.us.kg/itv/2000000003000000051.m3u8?cdn=hnbblive
NewTV惊悚悬疑,http://felix365.us.kg/itv/2000000003000000015.m3u8?cdn=hnbblive
NewTV怡伴健康,http://felix365.us.kg/itv/2000000003000000023.m3u8?cdn=hnbblive
NewTV明星大片,http://felix365.us.kg/itv/2000000003000000016.m3u8?cdn=hnbblive
NewTV欢乐剧场,http://felix365.us.kg/itv/2000000003000000050.m3u8?cdn=hnbblive
NewTV武博世界,http://felix365.us.kg/itv/2000000003000000007.m3u8?cdn=hnbblive
NewTV潮妈辣婆,http://felix365.us.kg/itv/2000000003000000018.m3u8?cdn=hnbblive
NewTV炫舞未来,http://felix365.us.kg/itv/2000000003000000044.m3u8?cdn=hnbblive
NewTV爱情喜剧,http://felix365.us.kg/itv/2000000003000000010.m3u8?cdn=hnbblive
NewTV精品体育,http://felix365.us.kg/itv/2000000003000000021.m3u8?cdn=hnbblive
NewTV精品大剧,http://felix365.us.kg/itv/2000000003000000020.m3u8?cdn=hnbblive
NewTV精品纪录,http://felix365.us.kg/itv/2000000003000000019.m3u8?cdn=hnbblive
NewTV金牌综艺,http://felix365.us.kg/itv/2000000003000000005.m3u8?cdn=hnbblive
NewTV超级体育,http://felix365.us.kg/itv/2000000003000000030.m3u8?cdn=hnbblive
NewTV超级电影,http://felix365.us.kg/itv/2000000003000000031.m3u8?cdn=hnbblive
NewTV超级综艺,http://felix365.us.kg/itv/2000000003000000029.m3u8?cdn=hnbblive
NewTV超级电视剧,http://felix365.us.kg/itv/2000000003000000032.m3u8?cdn=hnbblive
NewTV魅力潇湘,http://felix365.us.kg/itv/2000000003000000041.m3u8?cdn=hnbblive
NewTV精彩推荐,http://felix365.us.kg/itv/2000000003000000008.m3u8?cdn=hnbblive
NewTV精品萌宠,http://felix365.us.kg/itv/2000000003000000067.m3u8?cdn=hnbblive
